feature_name,keep_as_is,label_encode,one_hot_encode,custom_encode,null_value_impute,drop
MachineIdentifier,0,0,0,0,0,1
ProductName,0,0,1,0,0,0
EngineVersion,0,0,1,0,0,0
AppVersion,0,0,1,0,0,0
AvSigVersion,0,0,1,0,0,0
IsBeta,1,0,0,0,0,0
RtpStateBitfield,0,0,1,0,1,0
IsSxsPassiveMode,1,0,0,0,0,0
DefaultBrowsersIdentifier,0,0,0,0,0,1
AVProductStatesIdentifier,0,0,1,0,1,0
AVProductsInstalled,1,0,0,0,1,0
AVProductsEnabled,1,0,0,0,1,0
HasTpm,1,0,0,0,0,0
CountryIdentifier,0,0,1,0,0,0
CityIdentifier,0,0,0,0,0,1
OrganizationIdentifier,0,0,0,0,0,1
GeoNameIdentifier,0,0,1,0,1,0
LocaleEnglishNameIdentifier,0,0,1,0,0,0
Platform,0,0,1,0,0,0
Processor,0,0,1,0,0,0
OsVer,0,0,1,0,0,0
OsBuild,0,0,1,0,0,0
OsSuite,0,0,1,0,0,0
OsPlatformSubRelease,0,0,1,0,0,0
OsBuildLab,0,0,1,0,1,0
SkuEdition,0,0,1,0,0,0
IsProtected,1,0,0,0,1,0
AutoSampleOptIn,1,0,0,0,0,0
PuaMode,0,0,0,0,0,1
SMode,1,0,0,0,1,0
IeVerIdentifier,0,0,1,0,1,0
SmartScreen,0,0,0,1,1,0
Firewall,1,0,0,0,1,0
UacLuaenable,0,0,1,0,1,0
Census_MDC2FormFactor,0,0,1,0,0,0
Census_DeviceFamily,0,0,1,0,0,0
Census_OEMNameIdentifier,0,0,1,0,1,0
Census_OEMModelIdentifier,0,0,1,0,1,0
Census_ProcessorCoreCount,1,0,0,0,1,0
Census_ProcessorManufacturerIdentifier,0,0,1,0,1,0
Census_ProcessorModelIdentifier,0,0,1,0,1,0
Census_ProcessorClass,0,0,0,0,0,1
Census_PrimaryDiskTotalCapacity,1,0,0,0,1,0
Census_PrimaryDiskTypeName,0,0,0,1,1,0
Census_SystemVolumeTotalCapacity,1,0,0,0,1,0
Census_HasOpticalDiskDrive,1,0,0,0,0,0
Census_TotalPhysicalRAM,1,0,0,0,1,0
Census_ChassisTypeName,0,0,1,0,1,0
Census_InternalPrimaryDiagonalDisplaySizeInInches,1,0,0,0,0,0
Census_InternalPrimaryDisplayResolutionHorizontal,0,0,0,1,1,0
Census_InternalPrimaryDisplayResolutionVertical,0,0,0,1,1,0
Census_PowerPlatformRoleName,0,0,1,0,1,0
Census_InternalBatteryType,0,0,1,0,1,0
Census_InternalBatteryNumberOfCharges,1,0,0,0,1,0
Census_OSVersion,0,0,1,0,0,0
Census_OSArchitecture,0,0,0,0,0,1
Census_OSBranch,0,0,1,0,0,0
Census_OSBuildNumber,0,0,1,0,0,0
Census_OSBuildRevision,0,0,1,0,0,0
Census_OSEdition,0,0,1,0,0,0
Census_OSSkuName,0,0,1,0,0,0
Census_OSInstallTypeName,0,0,1,0,0,0
Census_OSInstallLanguageIdentifier,0,0,1,0,1,0
Census_OSUILocaleIdentifier,0,0,1,0,0,0
Census_OSWUAutoUpdateOptionsName,0,0,1,0,0,0
Census_IsPortableOperatingSystem,1,0,0,0,0,0
Census_GenuineStateName,0,0,1,0,0,0
Census_ActivationChannel,0,0,1,0,0,0
Census_IsFlightingInternal,0,0,0,0,0,1
Census_IsFlightsDisabled,1,0,0,0,1,0
Census_FlightRing,0,0,1,0,0,0
Census_ThresholdOptIn,0,0,0,0,0,1
Census_FirmwareManufacturerIdentifier,0,0,1,0,1,0
Census_FirmwareVersionIdentifier,0,0,0,0,0,1
Census_IsSecureBootEnabled,1,0,0,0,0,0
Census_IsWIMBootEnabled,0,0,0,0,0,1
Census_IsVirtualDevice,1,0,0,0,1,0
Census_IsTouchEnabled,1,0,0,0,0,0
Census_IsPenCapable,1,0,0,0,0,0
Census_IsAlwaysOnAlwaysConnectedCapable,1,0,0,0,1,0
Wdft_IsGamer,1,0,0,0,1,0
Wdft_RegionIdentifier,0,0,1,0,1,0
HasDetections,1,0,0,0,0,0
